year,N,Y,Y_cumul,N_cumul
2000,19,239,239,19
2001,0,102,341,19
2002,0,76,417,19
2003,0,82,499,19
2004,0,23,522,19
2005,0,26,548,19
2006,0,10,558,19
2007,0,8,566,19
2008,0,34,600,19
2009,33,28,628,52
2010,0,35,663,52
2011,34,15,678,86
2012,32,32,710,118
2013,0,40,750,118
2014,0,124,874,118
2015,0,60,934,118
2016,20,106,1040,138
2017,15,29,1069,153
2018,48,16,1085,201
2019,2513,93,1178,2714
2020,912,0,1178,3626
